MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nスタルーク\nAah ! Prince Fogado !\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nフォガート\nBonjour ! Qu'est-ce qui vous arrive, Prince\nAlcryst ? Pourquoi vous me fuyez comme ça ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nスタルーク\nJe m'excuse. Vous êtes toujours de si belle\nhumeur. J'ai peur que ma présence\nn'assombrisse vos esprits.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nフォガート\nOh allez ! Je crois que vous êtes un peu dur\navec vous-même.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nフォガート\nEt puis, en dépit des apparences, nous avons\nbeaucoup en commun.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nフォガート\nVous êtes le second prince d'un royaume\ntransmis de père en fils et moi le premier prince\nd'un royaume transmis de mère en fille.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nスタルーク\nJ'imagine que c'est vrai...\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nスタルーク\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nフォガート\nHm ? Pourquoi ce soupir ?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nスタルーク\nSi nous occupons un rang similaire...\npourquoi sommes-nous si différents ?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nスタルーク\nVous êtes si insouciant et sociable, alors que\nje ne suis qu'un triste fardeau pour ceux qui\nme côtoient.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nフォガート\nEt c'est reparti. Toujours aussi négatif.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nフォガート\nNon pas que votre attitude me dérange. Je crois\nmême que c'est une des raisons pour lesquelles\nje vous aime bien.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nスタルーク\nVous m'aimez bien ?! Ce n'est pas possible !\nJe ne mérite pas votre gentillesse !\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nスタルーク\nMisère, si vous continuez, ça va mal finir...\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nフォガート\nOh, allez. Qu'est-ce que j'ai de si dangereux ?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nスタルーク\nÇa ! Vos yeux amicaux et votre sourire tolérant !\nJe vous en prie, ne me regardez pas !\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nスタルーク\nVotre cœur pur est un projecteur qui ne fait\nque mettre en lumière le misérable que je suis !\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0C\nスタルーク\nJe... Je dois y aller !\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0C\nスタルーク\nDésolé ! Désolé !\x0E\x04\x00\x00
