MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x12\x0Cオルテンシア\x022\n\x0E\x03\x02\x0A\x08アイビー\nHortensia...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cオルテンシア\nQu'est-ce qui t'arrive, Ivy ? Tu es\nsubjuguée par mon joli minois ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08アイビー\nJe suis heureuse, voilà tout.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08アイビー\nNous avons traversé bien des épreuves,\net nous voilà enfin réunies.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08アイビー\nTu es la seule famille qui me reste, et j'espère\nque tu sais à quel point tu comptes à mes yeux.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\nLes demi-sœurs comptent comme de la\nfamille alors, c'est bon à savoir.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08アイビー\nCrois-tu que cela m'ait jamais dérangée ?\nJe t'ai toujours considérée comme ma sœur.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08アイビー\nEt je n'ai besoin de personne d'autre.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cオルテンシア\nTu as le chic pour me mettre mal à l'aise...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cオルテンシア\nMais je suis d'accord avec tout ce que tu as dit,\nalors... merci pour tes bonnes paroles !\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08アイビー\nTu as le sourire de ta mère.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08アイビー\nJe dirais même que tu lui ressembles chaque\njour davantage.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cオルテンシア\nTu trouves ?\x0E\x04\x00\x00
