MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x0A\x08リュール\nHey, Nel. How are you feeling? Having any\ntrouble adjusting or anything?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04エル\nI have had no difficulty. And I feel the same as\nI felt prior to my slumber.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nI'm glad to hear that. All the same, I hope you'll\ncome to me if there's anything you need.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x06\x04エル\nBefore we arrived here, Rafal informed me of\nthe circumstances which allowed me to awaken.\x0E\x04\x02\x00
MID_RELIANCE_C_#005	You had a notion of how to wake me, but you\ncould not be assured of success.\x0E\x04\x02\x00
MID_RELIANCE_C_#006	And yet you pondered whether I would come,\nas if to take that success as given. Why?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nYou're right, I didn't know for sure. I guess\nI just believed it.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x06\x04エル\nExplain.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リュール\nI chose to have faith that we'd meet again, Nel.\nNo matter how long it took.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x06\x04エル\nI see.\x0E\x04\x02\x00
MID_RELIANCE_C_#011	You truly are possessed of a virtuous nature,\nDivine One.\x0E\x04\x02\x00
MID_RELIANCE_C_#012	I only hope that your gentle disposition does not\ncause you to trust others unduly. Farewell.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nHm-hm! I guess I should be used to the\nlectures by now.\x0E\x04\x02\x00
MID_RELIANCE_C_#014	Even so, it's good to see her in high spirits.\x0E\x04\x02\x00
MID_RELIANCE_C_#015	Never change, Nel.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x06\x04エル\nDivine One, before you retire to your chambers,\na word.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nUh-oh. What did I do this time?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x06\x04エル\nIt is so very like you not to know.\x0E\x04\x02\x00
MID_RELIANCE_B_#004	I noticed your efforts to shield me from harm in\nthe last battle. And I am appreciative.\x0E\x04\x02\x00
MID_RELIANCE_B_#005	In doing so, however, you sustained an injury.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リュール\nSo you noticed. I did take a hit, but it was\nnothing serious.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x06\x04エル\nEven a superficial wound can be quite painful.\nAllow me to treat it.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08リュール\nOh, thank you.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x06\x04エル\nA certain other Divine Dragon I knew was also\nnonchalant about injuries.\x0E\x04\x02\x00
MID_RELIANCE_B_#010	And always quick with empathy. The focus was\nalways outward, on the well-being of others.\x0E\x04\x02\x00
MID_RELIANCE_B_#011	As the irreplaceable centerpiece of this army,\nyou must be more mindful of your condition.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08リュール\nI get it. I'm sorry. I'll be more careful.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x06\x04エル\nIt is easy to speak the words of such an oath.\nHarder to support the words with action.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リュール\nYou never let up, do you?\x0E\x04\x02\x00
MID_RELIANCE_B_#015	You know, Nel, I've been meaning to ask.\x0E\x04\x02\x00
MID_RELIANCE_B_#016	How similar am I to the Divine Dragon you knew\nin your world?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x06\x04エル\nWhy the sudden interest?\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リュール\nI've actually been wondering for a while.\x0E\x04\x02\x00
MID_RELIANCE_B_#019	When you saved my life back in your world, you\nsaid that you couldn't bear to lose me.\x0E\x04\x02\x00
MID_RELIANCE_B_#020	Does that mean... To you, am I...\x0E\x04\x02\x00
MID_RELIANCE_B_#021	When you look at me, are you actually seeing\nthe Divine Dragon you knew before?\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x06\x04エル\nThe wound is clean. And it is healing nicely.\x0E\x04\x02\x00
MID_RELIANCE_B_#023	You should take this day to rest and recover.\nFarewell for now.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08リュール\nThanks, Nel, I will. Goodnight.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x06\x04エル\nDivine One. I am pleased to see that you are\ntaking your rest where you can find it.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\nI had some spare time, so I thought I'd follow\nyour advice and take it easy for a change.\x0E\x04\x02\x00
MID_RELIANCE_A_#003	I only wish I had the luxury all the time.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x06\x04エル\nTo be so at peace that you could fall asleep at\nany moment─that is happiness.\x0E\x04\x02\x00
MID_RELIANCE_A_#005	Many fail to appreciate it while they have it.\nAnd you work tirelessly to achieve it for others.\x0E\x04\x02\x00
MID_RELIANCE_A_#006	That is why you have my respect.\x0E\x04\x00\x00
