MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0E\x08アイビー\x022\n\x0E\x03\x02\x0A\x08アイビー\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nスタルーク\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08アイビー\nY a-t-il quelque chose que je puisse faire\npour vous, Prince Alcryst ?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nスタルーク\nHm.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08アイビー\nJe vois. Vous faites semblant de m'ignorer.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nスタルーク\nJe refuse encore de vous pardonner.\nVous savez pourquoi.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nスタルーク\nComment pourrais-je faire autrement en\nprésence d'une personne qui a contribué à\nla mort de mon père ?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08アイビー\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08アイビー\nJe vous demande pardon pour le rôle que\nj'ai tenu dans la mort de votre père.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nスタルーク\nV-Vous vous excusez ?!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08アイビー\nJe sais qu'une excuse ne guérira pas vos\nblessures ni... ne servira à grand-chose.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08アイビー\nMais nous sommes à présent alliés.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08アイビー\nJe pense qu'il est important de trouver\nun terrain d'entente où nous pourrions\nnous rejoindre.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nスタルーク\nAh...\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08アイビー\nC'est pourquoi je fais ce premier pas essentiel.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08アイビー\nJe suis sincèrement désolée pour votre père.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nスタルーク\nPrincesse Ivy, je...\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nスタルーク\nJ'ai toujours craint votre famille et votre pays,\nje n'aurais jamais imaginé que nous finirions par\nêtre du même côté.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0C\nスタルーク\nLa vie est si imprévisible...\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0C\nスタルーク\nElle nous pousse en avant, que nous y soyons\npréparés ou non. Ressasser les griefs passés\nne peut que nous faire trébucher.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0C\nスタルーク\nDorénavant, je promets de faire de mon mieux\npour trouver ce terrain d'entente dont vous\nparlez.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0A\x08アイビー\nMerci. Mais vous devriez savoir qu'il est impoli\nde fixer quelqu'un.\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x0C\nスタルーク\nAaah ! Vous avez raison, je m'excuse de n'avoir\npas fait plus attention. Cela n'arrivera plus.\x0E\x04\x00\x00
MID_RELIANCE_C_#024	\x0E\x03\x01\x0C\nスタルーク\n\x0E\x03\x02\x0A\x08アイビー\nAu moins, nous regardons dans la même\ndirection. Des temps meilleurs nous attendent\npeut-être...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0E\x08アイビー\x022\n\x0E\x03\x02\x0C\nスタルーク\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08アイビー\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nスタルーク\nPrincesse Ivy ? Êtes-vous... en train de me\nregarder ?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08アイビー\nNon, Prince Alcryst, tout du moins pas\nintentionnellement.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08アイビー\nMais je ne peux détacher mes yeux de votre\narmure.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08アイビー\nEn Elusia, on apprend dès le plus jeune âge\nà se méfier des armures brodiennes.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nスタルーク\nOoh. Je pense que je comprends...\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nスタルーク\nBrodia a envahi Elusia à d'innombrables\nreprises. Mon pays est comptable de bien\ndes choses.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nスタルーク\nÇa n'y changera rien, mais... je suis désolé.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08アイビー\nOh ? Et qu'entendez-vous par là, exactement ?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nスタルーク\nHein ? Je, euh, quoi ?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08アイビー\nEst-ce une excuse officielle du royaume de\nBrodia pour ses invasions répétées sur nos\nterres ?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08アイビー\nReconnaissez-vous vos torts au nom de votre\npeuple et jurez-vous d'adopter une politique\nétrangère pacifique à l'avenir ?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08アイビー\nLes réconciliations entre nations sont des\naffaires sérieuses, elles ne doivent pas être\nprises à la légère.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nスタルーク\nC-ce n'est pas ce que...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nスタルーク\nCe que j'essaie de dire, c'est que si Brodia\nest en tort, nous devons absolument présenter\nnos excuses.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nスタルーク\nMais je n'ai pas le pouvoir de le faire ! C'est\nau roi et à la noblesse de se réunir et d'en\nconvenir...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nスタルーク\nAussi, quand j'ai dit être désolé, c'était en tant\nqu'individu et non en tant que représentant de...\neuh...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08アイビー\nHi hi. Je le sais bien. Je suis désolée, c'est si\nfacile de vous faire marcher.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nスタルーク\nOooh, Princesse Ivy... J'étais si nerveux...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08アイビー\nMon ressentiment envers Brodia appartient au\npassé, mais je n'ai pas résisté à la tentation de\nvous taquiner.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08アイビー\nMais voyez les choses du bon côté ! Nous\nsommes suffisamment à l'aise l'un avec l'autre\npour plaisanter ensemble. n'est-ce pas ?\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nスタルーク\nO-Oui, bien sûr ! J'ai cru que mon cœur allait\ns'arrêter, mais je suppose que c'était... amusant.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0E\x08アイビー\x022\n\x0E\x03\x02\x0C\nスタルーク\nPardonnez-moi, Princesse Ivy...\x0E\x04\x00\x00
