MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x06\x04エル\nHow curious that you, who once served a Divine\nDragon, now fight alongside a Fell Dragon.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x08\x06セリカ\nIt is an interesting little twist of fate, isn't it?\nI think it's wonderful.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06セリカ\nIt's no good to eat such acidic food all the time.\nYou should try to round out your nutrition a bit.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x06\x04エル\nI suppose if someone is going to mother me, it\nmay as well be an ancient and ageless Emblem.\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x06\x04エル\nI have noticed you treat me the same way you\ntreat the little ones, even though I am a dragon.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x08\x06セリカ\nI try to see people for who, rather than what,\nthey are. Is there something wrong with that?\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x06\x04エル\nNot at all. As a matter of fact, I find your\ncompany quite pleasant because of it.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x08\x06セリカ\nI'm glad. I hope we can continue to get to know\neach other for a long time to come.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0C\nラファール\nYour ability to warp is impressive. Could you\nwarp to another country, with sufficient effort?\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x08\x06セリカ\nI do believe I could, but I'm not sure. Perhaps,\nif you're curious, we could give it a try?\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06セリカ\nDeep down, I know you possess a kind heart.\nWhy do you not show it?\x0E\x04\x00\x00
