MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0A\x08リンデン\n¡Aaaaah!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x02\x0A\x08ジェーデ\n¿Lindon? ¿Qué estás haciendo?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リンデン\nAh, hola, Jade.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08リンデン\nEstaba preparando dulces con magia de trueno.\nMe gusta que queden... centelleantes.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リンデン\nAy, madre...\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08リンデン\n¿Qué libro es ese que tienes ahí?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リンデン\nCreo haber leído casi todos los libros que hay,\npero esa portada no me suena.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ジェーデ\nMe sorprendería que lo conocieras.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08ジェーデ\nEs una de las novelas que escribo.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08リンデン\n¡Por todas las estrellas! ¡Qué maravilla!\nPermíteme que la lea, por favor.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08ジェーデ\n¿Eso quieres? Te advierto que el tono\nes más ligero del que estás acostumbrado...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リンデン\n¿Así que es una comedia?\nComprendo. Eso solo aviva mi interés.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リンデン\nMe gustaría cambiar de tono.\n¿Cómo puedo convencerte de que me la dejes?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リンデン\n¿Qué tal si te preparo unos dulces\na cambio? ¿Te interesa el trato?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ジェーデ\nGracias, pero no hace falta. Sería un honor\nque me dieras tu opinión sobre mi obra.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ジェーデ\nA no ser que sea muy mala. En ese caso,\nfingiremos que esto nunca ha ocurrido.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08リンデン\n¿Entonces me permitirás que la lea?\n¡Gracias, Jade!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0A\x08リンデン\nMadre mía, Jade. Como se suele decir,\nme he muerto de la risa.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リンデン\nEs obvio que posees un talento considerable\npara escribir comedias.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ジェーデ\nEs todo un halago. Gracias, Lindon.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リンデン\nTus personajes tienen tanta vida...\n¡que parecía que iban a salir de las páginas!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リンデン\n¿Cuántos están basados en personas reales?\nHe reconocido a algunos de nuestros amigos...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ジェーデ\nPuede que haya metido ciertos paralelismos\ncon algunas personas, vivas o muertas.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リンデン\nTienes buen ojo... y talento para plasmar\ntus observaciones en el papel.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08リンデン\nEs una novela magnífica, en serio.\nGracias de nuevo por compartirla conmigo.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ジェーデ\nGracias a ti por leerla.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08リンデン\nDe hecho, comparto esa afición.\nHe escrito un libro sobre mis años mozos.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ジェーデ\n¿Ah, sí?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08リンデン\nSí, lo sabe muy poca gente.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08ジェーデ\nSi no te importa, me encantaría leerlo.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リンデン\n¡Fantástico! Esperaba que dijeras eso.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リンデン\nEs emocionante contar con otro escritor\nen el grupo. ¡No quepo en mí de gozo!\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リンデン\nCuando tengas tiempo, podríamos comparar\nnuestras listas de comedias favoritas.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08ジェーデ\n¡Sí, por favor! Eso sería estupendo.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リンデン\nQué encuentro tan afortunado. Quién me iba\na decir que aún me sorprendería así a mi edad.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0A\x08リンデン\n¡Ha sido toda una sorpresa, Jade!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リンデン\nApenas he terminado el último capítulo\ny ya me traes el siguiente.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08ジェーデ\nComo lees mis primeros borradores,\nla edición va mucho más rápido.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リンデン\nClaro, claro.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08ジェーデ\n¿Qué te ha parecido?\nNo me hagas suplicarte, porque lo haré.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リンデン\nEs... magnífico.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リンデン\nHe disfrutado leyendo este capítulo\nmucho más que con el anterior.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ジェーデ\nAh, es un alivio oírlo.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リンデン\nSobre todo me ha gustado el nuevo personaje.\nHa sido una incorporación muy acertada.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リンデン\nRíe, llora... ¡Parece muy real!\nCreo que quizá sea mi favorito de todos.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08リンデン\nNo sé por qué, pero debo admitir\nque he sentido cierta conexión con él.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ジェーデ\nMe alegra que pienses eso.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ジェーデ\nLa verdad es que está basado en ti.\nEspero no haber sido muy presuntuosa.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リンデン\n¡Lo suponía! Qué maravillosa sensación\nes reír junto a tu homólogo de la ficción.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08リンデン\nMe tomaré sus fuertes ganas de vivir\ncomo un cumplido.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リンデン\nGracias otra vez por concederme el honor\nde leer tu maravillosa novela, Jade.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08ジェーデ\nTe prometo que el honor es todo mío.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リンデン\nPrepararé algunos dulces para agradecértelo.\n¿Te quedarás a probarlos?\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08ジェーデ\n¿Primero halagos y luego dulces?\n¡Por supuesto que me quedo!\x0E\x04\x00\x00
