MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nI sense the warmth you feel for your younger\nbrother. I know we're going to get along fine.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x06\x04エル\nYou possess a curiously powerful gift of insight.\nBut I feel the same way.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nI had someone who was like a little brother too.\nWe look nothing alike, but he is very dear to me.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x06\x04エル\nHe is still your brother, even if there is little\nresemblance. Or have I missed some nuance?\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x06\x04エル\nI heard that you have an unusually long lifespan.\nThat is why your brother grew up ahead of you.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x08\x06ミカヤ\nSomething like that, yes. He was like a little\nbrother until he was bigger than me.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x06\x04エル\nAs a dragon, I understand this very well.\nIt is sad to watch the little ones grow old.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x08\x06ミカヤ\nI appreciate your empathy. It seems I was right\nto predict that we would get along.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0C\nラファール\nWhat is with that protective look you give me?\nDo you dare presume to treat me like a child?\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x08\x06ミカヤ\nOh, I'm sorry, I didn't mean to upset you. But\nI was thinking that I'd like to watch over you.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0C\nラファール\nAm I cursed to have older sisters eternally fuss\nover me? Did I not tell you I am no child?\x0E\x04\x00\x00
