MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04エル\nEuer Haar scheint so hell wie Feuer. Es ist\nein Leuchtfeuer auf dem Schlachtfeld.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x06\x04ロイ\nVielen Dank. Ich habe das von meinem Vater\ngeerbt, daher bin ich stolz darauf.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nDer gesamte Inhalt des Streuers, Nel? Ich kenne\nkeine einzige Speise, die so viel Salz benötigen\nwürde.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x06\x04エル\nEs ist wirklich eine Schande, dass Ihr meinen\nBeitrag zum kulinarischen Fortschritt nie\nprobieren könnt.\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04エル\nIhr stellt Euch stets ohne Zögern der Gefahr.\nBesitzt Ihr überhaupt die Fähigkeit, Euch vor\netwas zu ängstigen?\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x06\x04ロイ\nNatürlich kenne ich das Gefühl der Angst. Mut\nbedeutet, einfach zu entscheiden, dass etwas\nwichtiger als die Angst ist.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x06\x04ロイ\nFür mich ist es wichtiger, an der Seite meiner\nFreunde zu kämpfen. Ich möchte ihnen helfen\nund sie beschützen.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x06\x04エル\nVerstehe. Ich hoffe, Ihr werdet mich ebenfalls\nzu diesen Freunden zählen.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0C\nラファール\nAuch wenn meine Stärke allein für die Schlacht\nschon ausreichend ist... wird Eure Hilfe gewiss\nnicht ungelegen kommen.\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x06\x04ロイ\nIch bin froh, dass du so denkst. Ich helfe gerne,\nwo immer ich kann.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0C\nラファール\nEuer Vater... Wie war er?\x0E\x04\x00\x00
