MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ゼルコバ\nMmm...\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ゼルコバ\nMmm. Sí, me ha quedado *aceptable*.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06カゲツ\n¡Zelkov! ¡Duelo de práctica! ¡Ya!\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08ゼルコバ\n¡Aaaah!\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ゼルコバ\n¿Hay algún motivo para que me des\nesos *sustos*?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06カゲツ\n¿Te he tomado desprevenido?\n¡Anda! Sé que puedes hacerlo mejor.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06カゲツ\n¡Nuestras obligaciones hacia Ivy requieren\nun temple imperturbable y una voluntad férrea!\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06カゲツ\nAsí que... ¡a practicar! ¡Lucha conmigo!\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ゼルコバ\nLo lamento, pero estoy *ocupado* ahora mismo.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06カゲツ\n¿De qué se trata esta vez? ¿Mirando pájaros?\n¿Haciendo alfarería?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06カゲツ\nEsa sonrisita me sugiere que ya has encontrado\notra absurda afición de las tuyas...\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08ゼルコバ\nEstoy pintando y necesito *silencio*\npara concentrarme, si no es mucho pedir.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06カゲツ\n¡Ja! Ya sabía yo que algún día te daría\npor la pintura. ¡Haz una pausa y enfréntate a mí!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ゼルコバ\nEsta ocupación es *importante* para mí.\nBúscate a otro con quien entrenar.\x0E\x04\x00\x00
