MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ゼルコバ\nHmm...\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ゼルコバ\nJa, das ist... annehmbar.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06カゲツ\nZelkov! Trainingskampf! Jetzt!\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08ゼルコバ\nJaaa!\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ゼルコバ\nMusst du mich so... überraschen?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06カゲツ\nHabe ich dich erschreckt? Hahaha! Komm\nschon, das geht doch besser.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06カゲツ\nUnsere Arbeit für Prinzessin Ivy verlangt\nunerschütterlichen Mut! Du brauchst einen\neisernen Willen!\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06カゲツ\nAlso – Trainingskampf! Stell dich mir!\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ゼルコバ\nEntschuldige, aber ich bin... beschäftigt.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06カゲツ\nWomit denn dieses Mal? Vogelbeobachtungen?\nTöpfern?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06カゲツ\nDein Grinsen verrät mir, dass es ein paar\nneue alberne Fimmel sein müssen?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08ゼルコバ\nIch male. Und benötige... Ruhe... um mich\nkonzentrieren zu können, wenn du so nett\nwärst.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06カゲツ\nIch wusste, eines Tages wäre es das Malen.\nMach mal Pause und tritt gegen mich an!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ゼルコバ\nDiese Betätigung ist mir... wichtig. Bitte suche\ndir einen anderen Trainingspartner.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06カゲツ\nHmpf.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06カゲツ\nZelkov, ist dir diese Kunst wichtiger als unsere\nFreundschaft?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06カゲツ\nDu bist mein einziger Kollege! Es ist wichtig,\ndass wir etwas zusammen unternehmen.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08ゼルコバ\nMh-hmm...\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06カゲツ\nZu konzentriert, um zu antworten. Er ignoriert\nmich komplett. Offenbar bin ich wieder allein.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06カゲツ\nZelkov! Für uns ist die Zeit gekommen!\nMach dich bereit!\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ゼルコバ\nIch... fürchte... ich muss erneut ablehnen.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06カゲツ\nIch bin es leid, das zu hören! Du hast kein\nRecht, mich so abzulehnen!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06カゲツ\nWenn du dich nicht auf der Stelle mit mir\nduellierst, werde ich... werde ich gegen dein\nGemälde antreten!\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ゼルコバ\nWie bitte?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06カゲツ\nDu hast immer nur Zeit für deinen dämlichen\nFreizeitbeschäftigungen. Niemals für deinen\nFreund!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06カゲツ\nWie sollen wir auf diese Weise ein Band\nzwischen uns knüpfen?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ゼルコバ\nBeruhige dich. Ich habe dich... verstanden, aber\nmein Werk zu zerstören, ist nicht hilfreich.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ゼルコバ\nDadurch wäre ich... gezwungen... nie wieder\nmit dir zu sprechen. Leg deine Waffe weg,\nKagetsu.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06カゲツ\nHahaha.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ゼルコバ\nWas... amüsiert... dich denn so daran?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06カゲツ\nDiese angespannte Atmosphäre! Spürst du sie?\nEs ist, als ob wir Rivalen seien, für einen\nKonflikt bestimmt!\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06カゲツ\nEndlich nimmst du mich ernst!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06カゲツ\nWenn du dich nicht als Freund mit mir messen\nwillst, dann eben als Rivale!\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nGenug.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06カゲツ\nWie jetzt? Hältst du dich zurück? Bedeutet dir\ndein Gemälde doch so wenig?\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08ゼルコバ\nIch habe deine Augen gesehen. Dir fehlt der\nmörderische Instinkt. Du bist nur ein... Kind...\ndas um Aufmerksamkeit buhlt.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06カゲツ\nKind?! Wie kannst du es wagen?!\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08ゼルコバ\nGeh einfach weg. Dies ist eine... aufrichtige...\nWarnung.\x0E\x04\x00\x00
