MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nCiao, Rosado. Hai un minuto?\nHo qualcosa da chiederti.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ロサード\nVediamo se indovino. Vuoi sapere il segreto\ndietro a questo bel faccino?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ロサード\nMi spiace, ma non c'è risposta al tuo quesito.\nSono nato così. Credo sia il destino.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ジェーデ\nVeramente non era questa la mia domanda.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08ロサード\nOh.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ジェーデ\nA quanto pare scoppi di energia. Ho sentito\ndire che riesci a lavorare tutta la notte e il\ngiorno dopo sei fresco come una rosa.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08ロサード\nSì, è vero. Non ho problemi a stare sveglio tutta\nla notte. E il giorno dopo mi sento sempre in\nforma.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ジェーデ\nAh, che invidia. Piacerebbe anche a me.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08ジェーデ\nSe potessi stare sveglia di notte, avrei più tempo\nper scrivere.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ジェーデ\nNon avresti qualche consiglio da darmi?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08ロサード\nEcco... Non ci ho mai riflettuto troppo.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ロサード\nForse sono troppo carino per essere stanco.\nMa sono sicuro che potresti farcela anche tu!\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08ジェーデ\nCioè basta essere adorabili per avere energia?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ジェーデ\nStrano... Comunque tentar non nuoce.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ジェーデ\nNon ho mai "provato" a essere carina. Non\ndisdegnerei qualche dritta da un esperto.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ロサード\nJade... hai trovato la persona giusta. Tirerò\nfuori il meglio di te, vedrai.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x0A\x08ロサード\nSei pronta, Jade? Oggi tireremo fuori il meglio\ndi te.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08ジェーデ\nTirarlo fuori? Ma non sto mica tenendomi\ndentro niente. Più che altro non so cosa devo\nfare di preciso.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ロサード\nFai quello che ti viene naturale. Mettiti in posa,\ndi' qualcosa di interessante... va bene tutto.\nSii te stessa!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08ジェーデ\nMh. Va bene.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ジェーデ\nCippiripì.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ロサード\nOttimo! Così! Sei perfetta!\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ジェーデ\nDavvero? Ha funzionato?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ロサード\nMa certo! E ora presentati. Dimmi qualcosa su\ndi te.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ジェーデ\nCippiripì, sono la dolcissima Jade.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ロサード\nJade! Tieni presente che non lo dico spesso...\nMa tu sei un talento naturale. Adorabilissima!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ジェーデ\nEh...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ロサード\nChe c'è? Tutto a posto?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08ジェーデ\nÈ il mio modo di ridere, non preoccuparti.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ジェーデ\nMa non ci credo che questi trucchetti funzionino\na tenermi in piedi tutta la notte. Non ha senso.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ロサード\nAhah, peccato. La strada verso l'adorabilità\nsi interrompe qui per te?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ジェーデ\nMa no, dai. In fondo mi sto divertendo.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08ジェーデ\nVediamo fino a dove riesco ad arrivare. Se non\naltro mi stanno venendo tante nuove idee per le\nmie storielle.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08ロサード\nGrande! Ti assisterò passo dopo passo verso la\ntua scalata al successo!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nCippiripì, Rosadino. Come va, ciccino?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08ロサード\nComplimenti, Jade! Stai migliorando a vista\nd'occhio con questi saluti!\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08ジェーデ\nLo ammetto, non riesco più a smettere. È\ndivertente parlare così, soprattutto quando gli\naltri non se lo aspettano.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08ロサード\nHo creato un mostro. Sono contento per te!\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08ジェーデ\nE io ti ringrazio. È così liberatorio rilassarsi un\npo' e dire cose stupide. Anche se dal mio\naspetto non si direbbe...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ロサード\nGià. La tua faccia sembra una statua di marmo.\nMaestosa, bella... e misteriosa.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ジェーデ\nChissà, forse dovrei essere più espressiva.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ロサード\nQuella tua aria misteriosa è ciò che ti rende\nunica. Non osare cambiarla.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ジェーデ\nBeh, grazie mille, cippiripì. Non lo farò.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ロサード\nEcco, così! Troppo carina!\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ジェーデ\nSono contenta che questo esperimento ci\nabbia aiutati a conoscerci meglio, Rosado.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ジェーデ\nForse non sarò riuscita a trovare l'energia per\nstare sveglia a scrivere tutta la notte...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ジェーデ\nMa queste lezioni di adorabilità mi torneranno\nutili quando dovrò creare dei personaggi.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ジェーデ\nMi sono divertita a studiare tutti i dettagli che\nrendono adorabili le cose. È stato un esercizio\ndi creatività.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ジェーデ\nTi ringrazio per avermi mostrato questo tuo\nlato. Mi sono davvero affezionata a questi\nmomenti che passo con te.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ロサード\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08ロサード\nSei... l'essenza dell'adorabilità.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ロサード\nLasci trasparire i tuoi veri sentimenti... come\nraggi di sole, puri e radiosi.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08ジェーデ\nGrazie, cippiripì... ma ho ancora molto da\nimparare dal mio maestro di adorabilità\nRosadino.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ロサード\nAhah! Quanti complimenti! Grazie!\x0E\x04\x00\x00
