MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x06\x04エル\nVous avez vécu une expérience malheureuse\navec un Dragon déchu, et si vous préférez\nm'éviter, je le comprendrai parfaitement.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x08\x06ルキナ\nCe n'est nullement mon intention, Nel.\nJ'aimerais connaître la personne qui\nse cache derrière le Dragon déchu.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nNel ! J'ai dessiné une tenue pour vous en\ngage de notre amitié, et les doigts de fée\nde Vander ont fait le reste.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x06\x04エル\nIl y a un grand piment rouge brodé sur\nle torse. Voilà qui reflète habilement\nmes goûts culinaires.\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x06\x04エル\nLucina, je ne suis guère habile de mes mains,\nmais je vous ai tout de même fabriqué ceci\npour vous remercier de votre cadeau.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x08\x06ルキナ\nVous avez brodé nos deux visages sur une\nbannière, avec les mots « Une belle amitié » ?!\nJe ne sais pas quoi dire !\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x08\x06ルキナ\nMerci, mille fois merci ! Je chérirai ce\nmoment pour l'éternité, tout comme\nl'amitié que nous partageons.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x06\x04エル\nMoi de même, et je suis soulagée de constater\nque nous partageons aussi les mêmes goûts\nvestimentaires.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nRafal, mon imagination me joue-t-elle des tours,\nou essayez-vous de m'éviter ? Je croyais que\nnous formions une équipe, après notre combat.\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x0C\nラファール\nVotre monde a été détruit par un Dragon\ndéchu. Je suis un fléau, moi aussi, c'est\ndonc vous qui devriez m'éviter.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x0C\nラファール\nJe pensais vous avoir demandé de m'éviter en\ndehors des combats. Pourquoi voudriez-vous\nsympathiser avec un Dragon déchu ?\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x08\x06ルキナ\nDe l'eau a coulé sous les ponts,\nje n'ai aucune raison de vous haïr.\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x0C\nラファール\nVous n'abandonnez pas si facilement.\nC'est une qualité admirable, je suppose,\nbien qu'un tant soit peu agaçante.\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x08\x06ルキナ\nSerait-ce un compliment ? De votre part ?\nNous faisons des progrès ! J'aimerais\ndécouvrir qui vous êtes réellement.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x08\x06ルキナ\nLe confident de mon père fut le réceptacle\nqui permit l'avènement d'un Dragon déchu.\nLes liens peuvent être plus forts que le destin.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0C\nラファール\nPensez-vous donc que nous pourrions être...\namis ? Votre naïveté est touchante, et je\nm'efforcerai de ménager vos illusions.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nBonjour, Lucina. Je suis Zelestia, dragon\nmage de mon état. Quels sont les différents\ndragons qui existaient dans votre monde ?\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x08\x06ルキナ\nIl y avait le Dragon divin, le Dragon déchu,\net d'autres que l'on nommait les Manaketes.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nJ'ai compris que vous étiez un dragon mage,\nZelestia, mais cela veut-il dire que vous\npouvez vous transformer en dragon ?\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nPlus maintenant. J'ai perdu ma dracopierre\ndans l'incendie de mon village, et je ne peux\nplus la récupérer désormais.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nVous venez donc d'un autre monde, sans\naucun espoir de retour... J'ai connu un\ndestin similaire, il y a fort longtemps.\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nC'est vrai, mais je ne le regrette en rien. Je ne\nsaurais l'expliquer, mais j'ai l'impression qu'en\nsauvant ce monde, je sauverai aussi le mien.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x08\x06ルキナ\nJe sais ce que vous ressentez, et je\nconsacrerai tous mes efforts à vous\naider dans cette entreprise.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nJe vous en remercie, Lucina. Je ne doute pas\nqu'en joignant nos forces, nous parviendrons\nà rétablir la paix.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nUne question me taraude, Gregory... Pourquoi\nportez-vous des vêtements aussi sombres,\nvous qui êtes d'un naturel si doux ?\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x0C\nグレゴリー\nSi ça ne tenait qu'à moi, je porterais des tenues\nplus avenantes et gracieuses, mais j'ai envie que\nl'ennemi y réfléchisse à deux fois en me voyant.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nUne idée m'est venue... Et si vous portiez\ndes vêtements plus à votre goût, mais en\nles décorant d'un motif intimidant ?\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x0C\nグレゴリー\nNan, vous avez même fait un dessin ?!\nDes wyvernes et des loups sur une chemise\nà franges ? C'est chic et choc à la fois !\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x0C\nグレゴリー\nMerci d'avoir dessiné cette tenue rien que\npour moi, mais je préfère attendre que la\nguerre soit finie pour la porter.\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x08\x06ルキナ\nOh... N'était-elle pas à votre goût ? Pardon,\nje ne voulais pas vous importuner avec mon\nsens de la mode très particulier.\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x0C\nグレゴリー\nOh non, c'est pas ça du tout ! Au contraire,\nje l'aime tellement que je n'ai pas envie qu'elle\nsoit associée à la violence des combats.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x08\x06ルキナ\nDans ce cas, mettons un terme à ce conflit\nau plus vite, que nous puissions fêter la paix\nretrouvée avec un grand défilé de mode !\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nVous avez combattu avec maestria.\nVous utilisez le lien qui nous unit pour\nune noble cause, et cela se ressent.\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x0C\nマデリーン\nRien ne justifie de tels éloges, Dame Lucina.\nJe ne fais que mon devoir de chevalier.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x0C\nマデリーン\nJ'ai appris que vous aviez vous aussi perdu\nvotre famille et vos amis, Dame Lucina.\nComment peut-on... surmonter ce malheur ?\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x08\x06ルキナ\nOn ne le peut pas. Aujourd'hui encore, je vis\navec cette douleur en moi... Alors si la tristesse\nvous submerge, venez m'en faire part.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x0C\nマデリーン\nNombre des êtres chers que j'ai perdus étaient\nde valeureux chevaliers, et je redoute de ne\njamais leur arriver à la cheville.\x0E\x04\x00\x00
