MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x0A\x08リュール\nTiens, Nel. Comment allez-vous ?\nVous prenez vos marques ?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04エル\nSans aucune difficulté. Je me sens exactement\ncomme avant mon long sommeil.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nVoilà qui fait plaisir à entendre. Mais n'hésitez\npas à m'en aviser si quelque chose ne va pas.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x06\x04エル\nAvant notre arrivée, Rafal m'a parlé des\ncirconstances qui ont conduit à mon éveil.\x0E\x04\x02\x00
MID_RELIANCE_C_#005	Vous aviez une idée de la façon dont il fallait\ns'y prendre, mais le résultat était incertain.\x0E\x04\x02\x00
MID_RELIANCE_C_#006	Et la seule question qui vous occupait était\ncelle de mon ralliement, comme s'il allait\nde soi que je me réveillerais. Pourquoi ?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nEn effet, je ne pouvais pas en être certain\x0E\x0A\x00\x06
MID_RELIANCE_C_#008	\x0E\x03\x02\x06\x04エル\nMais encore ?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リュール\nJ'ai pris le parti de croire en nos retrouvailles,\nNel. Quel que soit le temps que ça devait\nprendre.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x06\x04エル\nJe vois.\x0E\x04\x02\x00
MID_RELIANCE_C_#011	Vous êtes décidément la bienveillance incarnée,\nVotre Divinité.\x0E\x04\x02\x00
MID_RELIANCE_C_#012	Il faut espérer que cette aimable disposition\nne vous conduise pas à accorder votre\nconfiance de façon inconsidérée. Adieu.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nHa ha ! Je suppose que je devrais avoir\nl'habitude de ses réprimandes, maintenant.\x0E\x04\x02\x00
MID_RELIANCE_C_#014	Enfin, ça fait chaud au cœur de la voir en forme.\x0E\x04\x02\x00
MID_RELIANCE_C_#015	Ne changez jamais, Nel.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x06\x04エル\nVotre Divinité ! Puis-je vous dire un mot avant\nque vous ne vous retiriez ?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nOh oh... Qu'est-ce que j'ai encore fait ?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x06\x04エル\nCela vous ressemble bien de l'ignorer.\x0E\x04\x02\x00
MID_RELIANCE_B_#004	J'ai constaté les efforts que vous avez déployés\npour me protéger au combat. Je vous en suis\nreconnaissante.\x0E\x04\x02\x00
MID_RELIANCE_B_#005	Mais cette attitude vous a valu une blessure.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リュール\nAh, vous l'avez remarquée... En effet, j'ai essuyé\nune attaque, mais rien de grave.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x06\x04エル\nMême une blessure superficielle peut se révéler\ndouloureuse. Laissez-moi vous soigner.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08リュール\nOh, merci.\x0E\x04\x00\x00
