MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x06\x04エル\nHo saputo che non sei in buoni rapporti con\ni Draghi Maligni. Non sentirti obbligata a\nsocializzare con me, allora.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x08\x06ルキナ\nNon mi sento obbligata, Nel. Mi interessa\nconoscerti in quanto persona, non solo\ncome Drago Maligno.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nNel! Come pegno di amicizia ho disegnato degli\nabiti nuovi per te, e li ho fatti confezionare\na Vander!\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x06\x04エル\nC'è un peperoncino ricamato sopra.\nImmagino sia perché mi piacciono i cibi piccanti.\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x06\x04エル\nLucina, non sono brava nelle attività manuali,\nma ti ho comunque preparato un pensierino,\nin cambio del tuo.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x08\x06ルキナ\nOh, hai ricamato le nostre facce su un'insegna?!\nE sopra c'è anche scritto "amiche per sempre"?!\nMa è incredibile!\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x08\x06ルキナ\nGrazie mille! Farò tesoro di questo momento\ne della nostra amicizia nei tempi a venire.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x06\x04エル\nMi fa piacere che abbiamo gusti simili.\nAnche io farò tesoro della nostra amicizia.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nRafal, sbaglio o mi stai evitando? Credevo\nche fossimo compagni di battaglia.\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x0C\nラファール\nIl tuo paese fu distrutto da un Drago Maligno.\nAnch'io sono un distruttore. Dovresti essere\ntu a evitare me.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x0C\nラファール\nNon ti avevo detto di starmi alla larga, fuori dal\ncampo di battaglia? Perché insisti a rivolgere\nla parola a un Drago Maligno?\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x08\x06ルキナ\nIl passato è passato. Non ho ragioni per odiarti.\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x0C\nラファール\nSei proprio testarda. Un atteggiamento\nencomiabile, per quanto irritante.\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x08\x06ルキナ\nAh, un complimento? Facciamo progressi, vedo!\nVorrei conoscerti meglio, sapere chi sei davvero.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x08\x06ルキナ\nIl più intimo confidente di mio padre era il\nricettacolo di un Drago Maligno. I legami\npossono essere più forti del destino.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0C\nラファール\nQuindi credi che dovremmo diventare... amici?\nChe ingenua. Comunque, se proprio insisti,\nti accontenterò.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nSalve, Lucina. Sono Zelestia, un Drago Magico.\nChe tipi di draghi c'erano nel tuo mondo?\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x08\x06ルキナ\nC'erano il Drago Divino, il Drago Maligno\ne altri draghi chiamati manakete.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nZelestia, mi hai detto di essere un Drago\nMagico, ma puoi trasformarti?\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nNon più. Persi la mia pietra drago quando il\nmio villaggio fu dato alle fiamme. Non posso\nnemmeno andare a recuperarla.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nQuindi sei giunta da un altro mondo e non\npuoi farvi ritorno. Proprio come successe\na me tanto tempo fa.\x0E\x04\x00\x00
