MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06クロエ\x022\n\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06クロエ\nHihihi! Ihr seht so liebreizend aus, wenn Ihr\nschlaft, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nHuch?!\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06クロエ\nOh, guten Morgen. Habe ich Euch aufgeweckt?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リュール\nHast du mich etwa schon wieder beim Schlafen\nbeobachtet?!\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06クロエ\nJa. Tut mir leid.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nMir wäre es lieber, wenn du mich einfach\nin Ruhe lässt, wenn ich irgendwo draußen\neinnicke.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リュール\nEs ist irritierend, wenn man von selbst\naufwacht und sieht, wie man angestarrt wird.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06クロエ\nOh, es war nicht meine Absicht, Euch zu\nerschrecken, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06クロエ\nAber Ihr habt ganze tausend Jahre lang\ngeschlafen, wie in einem Märchen!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06クロエ\nEure schlafende Gestalt ist so erhaben, dass ich\nmeinen Blick einfach nicht davon abwenden\nkann.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リュール\nMag sein. Aber ich muss trotzdem eine ziemlich\nlächerliche Figur abgegeben haben, wo ich\nausgerechnet hier eingeschlafen bin.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06クロエ\nOh nein, ganz und gar nicht!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06クロエ\nAh, aber ich würde Euch gerne einen\nKompromiss vorschlagen. Hört mich bitte an!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06クロエ\nWenn ich jedes Mal, da Ihr aufwacht, an Eurer\nSeite wäre, könntet Ihr Euch daran gewöhnen\nund würdet Euch nicht mehr so erschrecken!\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06クロエ\nDafür müssten wir bloß ein zusätzliches Bett für\nmich in Eurer Kammer aufstellen.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08リュール\nNein! Ganz bestimmt nicht!\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06クロエ\nOje. Das ging schnell...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06クロエ\x022\n\x0E\x03\x02\x08\x06クロエ\nIhr habt tausend Jahre lang geschlafen.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06クロエ\nUnd als Ihr erwachtet, wurdet Ihr direkt in\neine Schlacht gegen die Mächte des Bösen\ngeworfen.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06クロエ\nIhr seid das Paradebeispiel \x0E\x0A\x00\x18\neines\neiner\n\x0E\x0A\x008\x1AMärchenhelden\x1AMärchenheldin!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\nHm... wirklich?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06クロエ\nOh ja. Man trifft nur selten jemand so\nAußergewöhnliches wie Euch.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06クロエ\nIhr führt kein normales Leben. Euch wurden\nVergnügen und Aufregung quasi in die Wiege\ngelegt!\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06クロエ\nOh, was gäbe ich dafür, auch so ein Leben zu\nleben...\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08リュール\nHm, ich weiß nicht.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06クロエ\nWas? Warum nicht?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08リュール\nEs lastet allerlei auf meinen Schultern.\nDarüber will ich mich zwar nicht beschweren...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リュール\nAber es ist wahr, dass ich niemals ein normales\nLeben führen werde.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08リュール\nUnd manchmal denke ich, ein wenig mehr\nDurchschnittlichkeit hätte auch etwas für sich.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06クロエ\nOh. Es tut mir leid. Ich habe mich zu sehr\nhinreißen lassen von meiner Sehnsucht nach\neinem Märchenleben...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06クロエ\nDabei habe ich nie darüber nachgedacht, wie es\nsich für jemanden anfühlt, der tatsächlich ein\nsolches Leben führt.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リュール\nDu musst dich nicht entschuldigen, Chloé. Ich\nweiß ja, dass es nicht böse gemeint war.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06クロエ\nJetzt habe ich aber trotzdem ein schlechtes\nGewissen.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06クロエ\nOooh, ich hab's! Als Entschuldigung bringe ich\nEuch eine ganz besondere und außerordentlich\nköstliche Leckerei!\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06クロエ\nDa wäre dieser seltene eingelegte Tiefseefisch,\nvon dem ich zurzeit gar nicht genug bekomme.\nDer ist so sauer, dass einem ganz anders wird!\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06クロエ\nIch besorge Euch gleich welchen. Ihr werdet\nbegeistert sein!\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08リュール\nNicht nötig! Wirklich! Von der bloßen\nVorstellung wird mir schon anders genug!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06クロエ\x022\n\x0E\x03\x02\x0A\x08リュール\nMir ist aufgefallen, wie oft du dir wünschst,\nein Leben wie im Märchen zu leben...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06クロエ\nMhm. Das wünsche ich mir schon seit meiner\nKindheit.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06クロエ\nIch wurde in eine Adelsfamilie geboren. Meine\nEltern hatten mein ganzes Leben im Voraus für\nmich geplant.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06クロエ\nMeine Rolle als Adelstochter bestand darin, zu\nheiraten und mich dann der Familie meines\nPartners zu widmen.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06クロエ\nMeine Eltern haben mir nicht einmal gestattet,\ndie Speisen lokaler Imbissbuden zu essen, die\nich so sehr liebe.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06クロエ\nWeil sich das angeblich nicht ziemte für ein\nadliges Mädchen. Ich hasste alles an meinem\nLeben.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リュール\nDas wusste ich nicht...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06クロエ\nIch habe mir immer ein Leben gewünscht, das\nfrei, voller Aufregung und vor allem absolut\nungewöhnlich ist.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リュール\nEs war nicht meine Absicht, so viele\nschmerzhafte Erinnerungen zu wecken, Chloé.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06クロエ\nOh, ist schon in Ordnung. Es sind ja bloß\nErinnerungen. Und mein Wunsch ging in\nErfüllung, als ich Ritterin wurde!\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06クロエ\nPrinzessin Céline zu treffen, und natürlich auch\nEuch, hat es mir ermöglicht, die Art von Leben\nzu leben, von der ich immer geträumt habe.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06クロエ\nSeite an Seite mit \x0E\x0A\x00\x10\x06dem\x06der \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin und der\nköniglichen Familie zu kämpfen, ist besser als\njedes Märchen, meint Ihr nicht?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nWenn man es so betrachtet... Da magst du wohl\nrecht haben!\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06クロエ\nIch frage mich, ob man sich eines Tages\nGeschichten von diesem Krieg erzählen wird?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08リュール\nDas ist durchaus denkbar. Und falls es wirklich\nso kommen sollte...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リュール\nNun, ich wäre nicht überrascht, wenn du dann\neine der Hauptrollen einnehmen würdest!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06クロエ\nWas?! Daran... habe ich nie gedacht. Aber es\nklingt nach einer schönen Idee!\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06クロエ\nIch muss die Art rechtschaffene Ritterin werden,\ndie sich jedes Kind als Vorbild nimmt, wenn es\ndie Geschichte hört!\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リュール\nWas das anbelangt, bist du bereits auf bestem\nWege, Chloé.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06クロエ\nHahaha! Danke, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06クロエ\x022\n\x0E\x03\x02\x0A\x08リュール\nIch glaube, dass du auf mich abfärbst, Chloé.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x08\x06クロエ\nTue ich das? Wie?\x0E\x04\x00\x00
