MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x06\x04エル\nHablemos, Veronica. Como aliada tuya,\nconsidero que he de conocerte mejor.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nDe acuerdo. Pero, en ese caso, tú también\ndebes contarme cosas sobre ti misma.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nHe oído de tu estrecha relación con tus vasallos,\nlos Cuatro Vientos. Te envidio.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x06\x04エル\nLos considero parte de mi familia. ¿No tienes\na nadie que signifique algo parecido para ti?\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nNo hay vínculo de sangre entre tú y los Cuatro\nVientos. ¿Por qué los tratas como a tu familia?\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x06\x04エル\nNo creo que la consanguinidad sea la única\nbase para establecer vínculos de parentesco.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x0C\nヴェロニカ\nSi eso es cierto, quizá tú y yo lleguemos\na ser familia algún día...\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x06\x04エル\nQuizá. De hecho, creo que nos acercamos\na esa meta cada día que pasa.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nラファール\nEres una princesa imperial, ¿verdad?\nDeberías comportarte como tal...\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nNo sé a qué te refieres. Explícate, te lo ruego.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nTe envidio, Rafal. Cuentas con el poder\ny los aliados de los que yo carezco.\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x0C\nラファール\nEres mi reflejo de antaño. Lo que ambicionas\nestá a tu alcance. Solo has de reclamarlo.\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nDicen que pasaste un milenio cuidando de\ntu hermana. Siento celos de vuestra relación.\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x0C\nラファール\n¿Envidias mi tormento? ¿Mi justo castigo\npor romper el corazón de mi hermana?\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x0C\nヴェロニカ\nNo, pero sí el tiempo que habéis pasado juntos.\nQuizá yo no vuelva a ver a mi hermano jamás.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0C\nラファール\nSi te abandonó, sus motivos tendría.\nAcéptalo o haz que cambie de opinión.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nEres tan fuerte, Zelestia... Eso me encanta.\nQuiero tenerte toda para mí.\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nMe alegra saberlo, pero ya sirvo a alguien.\nPor ahora, podemos ser amigas.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nMe preocupa verte tan sola... Si necesitas a\nalguien, puedes recurrir a mí cuanto desees.\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\n¿A qué te refieres con recurrir\na ti... exactamente?\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nEnvidio las relaciones que mantienes\ncon tus amigos, Zelestia.\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nTú también eres amiga mía, Veronica.\nLuchamos juntas por este mundo.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x0E\x0Cセレスティア\nNos une un lazo muy estrecho. Contigo\nme siento protegida en cada batalla.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0C\nヴェロニカ\nSí, creo que yo también siento apego por ti,\naunque me faltan palabras para expresarlo...\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nグレゴリー\nMe asombra que en tu mundo fueras una\nprincesa imperial. ¡Tan joven! Cuesta imaginarlo.\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nMi linaje dictó mi destino. Yo solo me limité\na seguir la voz...\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nグレゴリー\nNo tienes por qué esforzarte tanto en combate.\nSiempre queda la opción de escapar.\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nTe ruego que hagas caso de tus propios\nconsejos. No quisiera perderte...\x0E\x04\x00\x00
