MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0A\x08アイビー\nHngh.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ゼルコバ\nWas bedeutet dieses... Geräusch... Prinzessin Ivy?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08アイビー\nEinfach nur Kopfschmerzen.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ゼルコバ\nIch hoffe, Ihr... überarbeitet... Euch nicht.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08アイビー\nMir geht es gut.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08アイビー\nUnd es gibt keinen Grund, warum du vorgeben\nsolltest, dass du dich sorgst.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08アイビー\nIch weiß, dass du mich nicht leiden kannst.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ゼルコバ\nHm.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08ゼルコバ\nLasst mich das absolut... klarstellen.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ゼルコバ\nMeine Sorge um Euer... Wohlergehen... ist\naufrichtig.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08ゼルコバ\nDenn immerhin liegt dies in meiner...\nVerantwortlichkeit.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08アイビー\nMhm...\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08ゼルコバ\nDoch aus irgendeinem Grund bewegt Euch die\nFrage, ob ich Euch gegenüber zärtliche...\nGefühle... hege.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ゼルコバ\nErlaubt mir, dies ganz... einfach... darzulegen.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ゼルコバ\nIch hege keine zärtlichen... Gefühle... Euch\ngegenüber, Prinzessin Ivy.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nIch sehe derlei Dinge als... unbedeutend... an.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08ゼルコバ\nEs spielt keine Rolle, wie ich zu Euch stehe,\nes zählt einzig nur mein... Gehorsam... Euch\ngegenüber.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08アイビー\nWie seltsam, dies von meinem eigenen Getreuen\nzu hören.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08アイビー\nAber das erleichtert mich. Ich mag dich\nebenfalls nicht.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08ゼルコバ\nTrotzdem werde ich Euch... gehorchen.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0A\x08アイビー\nSchön zu hören.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nSchmerz... isoliert... einen wie sonst nichts\nanderes.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08ゼルコバ\nEr kann nicht erklärt werden. Um ihn zu\nverstehen, muss man ihn... erfahren.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ゼルコバ\nBedeutet dies dann, dass wir... Fremde...\nfüreinander sind?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08ゼルコバ\nÜberhaupt nicht. Denn wir besitzen die Gabe\nder... Weisheit... wodurch wir erahnen, was\nunser Auge nicht sehen kann.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ゼルコバ\nIch habe diese Weisheit auf ihre Essenz\nreduziert. Ich habe sie in dieser Tinktur...\neingeschlossen.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ゼルコバ\nIch habe hier das... Licht... eingeschlossen, das\nden dunklen Nebel Eurer Einsamkeit vertreiben\nwird.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08アイビー\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08アイビー\nTut mir leid, was soll das? Was ist das?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ゼルコバ\nEine Medizin gegen Kopfschmerzen.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08アイビー\nDu hast die hergestellt? Für mich?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ゼルコバ\nJa. Als Euer Getreuer ist es meine... Pflicht...\nEuch auf jede mögliche Weise zu dienen.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08アイビー\nIch... danke dir.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08ゼルコバ\nIhr müsst mir nicht danken. Ich erfülle... nur...\nmeine Pflicht.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08アイビー\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08アイビー\nDanke, dass du mir nochmals bestätigst, warum\nich dich nicht mag.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08アイビー\nAber... ich muss zugeben, ich schätze deine\nEhrlichkeit.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08アイビー\nViele in deiner Position würden mir schmeicheln\noder mich belügen.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08アイビー\nDu sprichst offen mit mir. Das erkenne ich an.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08ゼルコバ\nIch, äh...\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08アイビー\nNun... hast du noch etwas zu sagen?\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08ゼルコバ\nBitte verzeiht, Prinzessin Ivy. Die Emotionalität\nhat mich... überrascht.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08ゼルコバ\nIch werde nun gehen und mich meinen anderen\nPflichten... widmen. Ruht Euch aus.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x01\x0A\x08ゼルコバ\n\x0E\x03\x02\x0A\x08アイビー\nDas werde ich. Danke, Zelkov.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0A\x08アイビー\nZelkov, ich habe etwas für dich.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08ゼルコバ\nEin Pinsel? Für... mich?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08アイビー\nJa. Um dir für die Medizin gegen die\nKopfschmerzen zu danken.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08アイビー\nSo wie ich es verstanden habe, malst du. Aber\nwenn du ihn nicht benötigst, dann kannst du\nihn ruhig wegwerfen.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08ゼルコバ\nIm Gegenteil. Ich werde ihn auf das...\nAllerbeste... pflegen. Ich danke Euch.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08アイビー\nIch bin froh... dass er dir gefällt.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ゼルコバ\nIch...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ゼルコバ\nPrinzessin Ivy, ich habe... Freude... an meiner\nArbeit. Ich hoffe, das wisst Ihr.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ゼルコバ\nWenn ich mich auf eine Aufgabe konzentrieren\nkann, dann vertiefe ich mich... vollständig...\ndarin.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ゼルコバ\nNur dann, wirklich... nur... dann, ist mein Geist\nwahrhaftig im Reinen.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ゼルコバ\nSolange ich Euer Getreuer bin, solange es für\nmich... Arbeit... gibt, habe ich eine Bestimmung.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ゼルコバ\nSo sehr weiß ich meine Arbeit für Euch...\nzu schätzen.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08アイビー\nIch verstehe. Wenn das stimmt, dann bin ich\nfroh, dich zu haben.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ゼルコバ\nDies ist die... Wahrheit meines Herzens... Ihr\nwisst, dass ich Euch niemals anlügen oder\nschmeicheln würde.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08アイビー\nJa, das hast du schon verdeutlicht.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nIch hoffe, Ihr werdet niemals zögern, mir...\njede... erdenkliche Aufgabe zu geben.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08ゼルコバ\nIch würde für Euch sterben, meine Herrin,\nund das mit Freude.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08アイビー\nMit Freude? Obwohl du mich nicht magst?\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08ゼルコバ\nMeine... Gefühle... könnten sich geändert haben.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ゼルコバ\nNun denke ich, dass Ihr als Herrin recht...\nannehmbar... seid.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08アイビー\nDu bist auch recht annehmbar, Zelkov.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08ゼルコバ\nHm, Ihr seid zu gütig.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08アイビー\nDennoch, ich werde dir nicht den Auftrag\ngeben, für mich zu sterben. Ob nun mit Freude\noder nicht.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08アイビー\nDu hast den strikten Befehl, zu überleben und\nmir weiter zu dienen.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08ゼルコバ\nIhr mögt Euch auf mich verlassen, Prinzessin\nIvy.\x0E\x04\x00\x00
