MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x02\x0E\x0Cオルテンシア\nIls sont bien trop canons dans cette\narmée, ça ne va pas du tout.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cオルテンシア\nComment voulez-vous que j'éclipse tout le\nmonde s'ils sont tous beaux comme des dieux ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06アンナ\nAh ah, n'en dites pas plus !\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cオルテンシア\nTiens, mais tu es...\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06アンナ\nMademoiselle Anna, l'alliée des demoiselles en\ndétresse, tant qu'elles sont prêtes à desserrer\nles cordons de leur bourse !\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06アンナ\nSi vous cherchez à éblouir, Princesse Hortensia,\nma gamme de produits de beauté pourrait vous\nintéresser !\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cオルテンシア\nTu as piqué ma curiosité ! Mais autant te le dire\ntout de suite, je n'achète pas n'importe quoi.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06アンナ\nSatisfaction garantie sur chaque article !\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06アンナ\nC'est bien simple, l'offre du jour vous\ncorrespond tellement qu'on la croirait\nconçue pour vous !\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cオルテンシア\nTu as l'air sûre de toi, ça me plaît ! C'est\nd'accord, montre-moi ce que tu as sur ton\nétal.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06アンナ\nAvec plaisir !\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06アンナ\nCe fard rosé, tout d'abord. Tenue parfaite toute\nla journée ! Une application le matin, et plus la\npeine d'y penser !\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cオルテンシア\nOoh...\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06アンナ\nEt bien sûr rouge à lèvres, pain de savon, eau\npurifiante... et même un cristal enchanté qui\nrend les cheveux brillants en un instant !\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06アンナ\nLe tout présenté dans une ravissante sacoche\naux jolis tons irisés ! Regardez, rien que de la\ntenir en main, vous resplendissez déjà !\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cオルテンシア\nMais c'est EXTRAORDINAIRE, tout ça ! II me\nles faut immédiatement. Je prends le tout !\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06アンナ\nMerci pour votre confiance ! Ouah, mes ventes\nvont crever le plafond !\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cオルテンシア\nC'est amplement mérité, tes articles sont\nincroyables. Quant à moi, je vais devenir\nparfaitement irrésistible !\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06アンナ\nSi vous avez une seconde, c'est pour une\nétude de marché : pourquoi tenez-vous tant à\nêtre la plus belle, Princesse Hortensia ?\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0E\x0Cオルテンシア\nParce que plus je serai belle, plus les gens\nm'apprécieront, bien sûr !\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x08\x06アンナ\nPour être populaire, je note...\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0E\x0Cオルテンシア\nC'est ça. Maintenant, je te laisse, je suis\nimpatiente de voir le résultat une fois que\nj'aurai essayé tout ça !\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x0E\x0Cオルテンシア\nMerci, Mademoiselle Anna !\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06アンナ\nPourquoi vous faites cette tête, Princesse\nHortensia ?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nJ'utilise tous les produits de ta gamme de\nbeauté, mais ça ne marche pas tout à fait\ncomme je voudrais.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06アンナ\nUne cliente déçue ?! Ça non, impossible !\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cオルテンシア\nOh non, tes articles sont très bien... Mais ils ne\nm'apportent pas la joie que j'espérais en tirer.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06アンナ\nBien sûr que si ! Ma gamme de beauté est\ntestée, approuvée et certifiée exceptionnelle !\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06アンナ\nD'ailleurs, elle s'est élargie ! J'ai maintenant\nmon parfum magique maison.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cオルテンシア\nUn parfum magique ? Ça existe, ça ?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06アンナ\nOh que oui ! Grâce à ses notes enchanteresses,\nvous apparaîtrez belle comme le jour !\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06アンナ\nLa tenue est perfectible, mais c'est un détail\nnégligeable au vu de l'efficacité ! J'en réponds\npersonnellement.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cオルテンシア\nEt ça marche vraiment ?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06アンナ\nPourquoi ne pas vous en assurer par\nvous-même ? Allez-y, essayez donc !\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cオルテンシア\nOoh, quel parfum délicat ! Voyons un peu le\nrésultat avec une pulvérisation. Qu'est-ce que\ntu en penses ?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06アンナ\nOuah ! Ça y est, je crois que nous avons trouvé\nla pièce manquante ! Ce parfum fonctionne\nmieux encore que je ne le pensais !\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cオルテンシア\nC'est vrai ? Ça y est, ma quête de beauté est\nachevée ? Je suis irrésistible au possible ?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06アンナ\nÇa oui, aucun doute !\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06アンナ\nVous savez quoi ? Je vous en donne un\néchantillon. Si vous êtes satisfaite, vous\nreviendrez me l'acheter, d'accord ?\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nSalut, Mademoiselle Anna.\nEst-ce que je peux te parler ?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06アンナ\nOh, Princesse Hortensia ! Alors, il vous a plu, ce\nparfum ? Vous en voulez un flacon entier ?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nNon, je ne vais pas te le prendre, finalement.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06アンナ\nPourquoi ? Ça n'a pas fonctionné ?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cオルテンシア\nSi, si, très bien même ! C'était bien ce qu'il\nmanquait pour me sublimer. Tous les yeux\nétaient rivés sur moi.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\nMais je ne veux plus l'utiliser.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06アンナ\nPourquoi ça ? Vous aviez l'air d'être prête à\ntout pour être la plus populaire !\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cオルテンシア\nJ'aime porter du maquillage et du parfum, mais\nje crois que je préfère éviter tout ce qui est\nenchanté.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cオルテンシア\nC'est trop facile, avec la magie. Je veux gagner\nles cœurs grâce à ma beauté et à mon charme,\npas avec des stratagèmes.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06アンナ\nOh...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06アンナ\nJe suis désolée, Princesse Hortensia. On dirait\nque je vous ai mal conseillée.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0E\x0Cオルテンシア\nAu contraire, tu m'as donné pile ce dont j'avais\nbesoin. Si je n'avais pas essayé ton parfum, je\nn'aurais jamais compris que je n'en voulais pas.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cオルテンシア\nJe t'assure que tu as toute ma gratitude.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06アンナ\nEh ben.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06アンナ\nLà, tout de suite, je vous trouve encore plus\nextraordinaire que sous l'effet du parfum.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cオルテンシア\nOh, c'est trop gentil ! C'est comme ça que\nje veux exercer mon charme, à l'avenir.\nMoins d'artifices, et plus de moi !\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06アンナ\nEt moi, je vais continuer à développer mon\ncommerce jusqu'à devenir la plus grande\nmarchande du monde entier !\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0E\x0Cオルテンシア\nC'est un bel objectif, jeune fille.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06アンナ\nEt puisqu'on en parle, vous voulez pas rejeter\nun coup d'œil à ma gamme de beauté garantie\nsans enchantement ?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06アンナ\nProduits de beauté ou autres, j'ai tout ce\ndont vous aurez besoin dans votre quête\nde popularité !\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cオルテンシア\nHa ha, toi alors, tu as vraiment le commerce\ndans la peau !\x0E\x04\x00\x00
