MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x06\x04エル\nUnterhaltet Euch ein wenig mit mir, Veronica.\nAls Eure Verbündete würde ich gerne etwas\nmehr über Euch erfahren.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nNun gut. Aber wenn wir Verbündete sein sollen,\ndann müsst Ihr mir auch mehr über Euch\nerzählen.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nIhr sollt zu Euren Getreuen, den Vier Winden,\nein recht enges Verhältnis haben. Ich beneide\nEuch.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x06\x04エル\nDie Vier Winde und ich sind wie eine Familie.\nSicherlich gibt es auch jemanden, über den Ihr\ndasselbe sagen könnt.\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nDie Vier Winde sind nicht mit Euch verwandt,\nund doch Familie für Euch. Wie schafft Ihr es,\nsie mit Leichtigkeit als solche zu behandeln?\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x06\x04エル\nBlutsbande sind stark, aber ich glaube, dass sie\nnicht die einzige Voraussetzung für starke\nfamiliäre Bande sind.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x0C\nヴェロニカ\nVielleicht werden wir beide dann auch eines\nTages wie eine Familie sein.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x06\x04エル\nVielleicht werden wir das sein, ja. Ich habe\nbereits jetzt das Gefühl, dass wir diesem Ziel\nnahe sind.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nラファール\nDu bist eine kaiserliche Prinzessin, nicht wahr?\nDein Verhalten sollte deinem Stand angemessen\nsein.\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nIch weiß nicht, was du damit meinst.\nErklär es mir.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nIch beneide dich, Rafal. Du scheinst all die\nMacht und Verbündeten zu haben, die mir\nfehlen.\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x0C\nラファール\nIch erkenne mein altes Selbst in dir. Was\ndu begehrst, ist schon in deiner Reichweite.\nDu musst es nur noch ergreifen.\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nDu sollst dich tausend Jahre um deine\nSchwester gekümmert haben. Ich beneide euch\num eure Beziehung.\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x0C\nラファール\nDu beneidest meine Sühne? Meine gerechte\nStrafe dafür, dass ich das Herz meiner\nSchwester gebrochen habe?\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x0C\nヴェロニカ\nNein, ich beneide euch beide um die Zeit, die\nihr miteinander hattet. Ich werde meinen Bruder\nwohl nie wiedersehen.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0C\nラファール\nWenn er dich verlassen hatte, hatte er wohl\nein Ziel vor Augen. Vertraue ihm oder geh,\nfinde ihn und halte ihn auf.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nZelestia, du bist recht stark... Das gefällt mir.\nIch will deine Stärke.\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nDas freut mich zu hören. Aber ich habe bereits\njemanden, dem ich diene. Lasst uns stattdessen\nFreundinnen werden.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nEs sorgt mich, dass Ihr einsam zu sein scheint.\nWenn Ihr möchtet, dürft Ihr mich gerne mehr\nin Anspruch nehmen.\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nWie genau... nimmt man jemanden in Anspruch?\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nIch beneide dich um die enge Beziehung, die\ndu zu deinen Freunden hast, Zelestia.\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nIhr und ich sind ebenfalls Freundinnen,\nVeronica. Wir kämpfen gemeinsam zum Wohle\ndieser Welt, stimmt's?\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x0E\x0Cセレスティア\nIch fühle ein starkes Band zwischen uns und\nich kann beruhigter in die Schlacht ziehen, da\nIhr mir Rückendeckung gebt.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0C\nヴェロニカ\nIch vermute, ich spüre ebenfalls ein Band\nzwischen uns, aber ich kann das nicht so gut\nin Worten ausdrücken.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nグレゴリー\nEs ist unglaublich, dass Ihr in Eurer alten Welt\neine kaiserliche Prinzessin wart. Ihr seid noch\nso jung! Ich kann mir das gar nicht vorstellen.\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nIch wurde in diese Position hineingeboren. Das\nist schon alles. Ich folgte einfach der Stimme...\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nグレゴリー\nIhr müsst Euch auf dem Schlachtfeld nicht so\nverausgaben. Wegrennen ist auch immer eine\nMöglichkeit.\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nNimm dir deine Worte ebenfalls zu Herzen. Ich\nmöchte mich auch weiterhin mit dir unterhalten\nkönnen...\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nDu machst dich gut als Vize. Du zeigst sehr viel\nVerantwortungsbewusstsein. Ich will dich in\nmeine Dienste stellen.\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x0C\nグレゴリー\nEigentlich versuche ich meisten nur, keine\nPeinlichkeit zu sein. Ich möchte den Großen\ndoch nicht enttäuschen.\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x0C\nグレゴリー\nDennoch neige ich dazu, mich von meinen\nFreunden retten lassen zu müssen. Auch von\nEuch. Ich sollte Euch dafür danken.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x0C\nヴェロニカ\nDa du mich bereitwillig zu deinen Freunden\nzählst... werde ich deine Stärke sein. Mein\nFreund, den ich beschütze...\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nマデリーン\nIch habe den Eindruck, Ihr seid nicht glücklich.\nDarf ich Euch wohl fragen, was der Grund ist?\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nIch bin, wie ich immer bin. Ich unterhalte\nmich gerne... Erzähl mir was über dich.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nマデリーン\nGibt es etwas, das Euch besonders am\nHerzen liegt? Zum Beispiel Andenken, die für\nein Mädchen Eures Alters typisch sind?\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nAndenken für ein Mädchen meines Alters? Ich\nglaube nicht, dass ich das verstehe...\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nMadeline... Hast du noch eine Familie?\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x0C\nマデリーン\nMeine Eltern sind schon von mir gegangen.\nAber meine Verbündeten und die Vier Winde...\nuns verbinden Bande wie die einer Familie.\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x0C\nヴェロニカ\nBande... Dieses Wort habe ich schon oft gehört.\nVerbinden uns... ebenfalls Bande?\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x0C\nマデリーン\nNatürlich! Für mich seid Ihr ebenfalls Familie.\nWürdet Ihr mich verlassen, würde mein Herz\nzerspringen.\x0E\x04\x00\x00
