MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nIhr seid das Herz dieser Gruppe. Ich werde\nalles tun in meiner Macht Stehende tun, um\nEuch vor Schaden zu bewahren.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x0A\x08リュール\nIch danke dir dafür, Camilla. Aber du kannst\nruhig etwas Abstand halten, ich kann dich gut\nhören.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nIhr habt so wunderschönes Haar. Hätte ich doch\nnur einen echten Körper, dann würde ich es\nliebend gern für Euch bürsten.\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x0A\x08リュール\nOh, ähm. Das ist wirklich sehr nett von dir,\naber allein der Gedanke genügt mir bereits.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nEure Augen zeigen solch eine Entschlossenheit.\nSie müssen schon viel Pein und Leid gesehen\nhaben.\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x0A\x08リュール\nEs ist wahr, ich habe viele Opfer gebracht.\nAber da ich so meine Freunde beschützen\nkonnte, war es das wert.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x08\x06カミラ\nWenn das so ist, werde ich tun, was ich kann,\ndamit Euer Pfad in eine strahlende Zukunft\nführt.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x0A\x08リュール\nIch danke dir. Ich bin froh, dass wir uns kennen-\ngelernt haben. Das Band, das uns verbindet, hat\nRaum und Zeit überwunden, und währt ewig.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nEs wärmt mein Herz, wenn ich sehe, wie Ihr\nandere umsorgt. Ihr seid so aufmerksam und\nverlässlich.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x0C\nヴァンドレ\nIch fühle mich geehrt, Prinzessin Camilla. Ich\nhabe sehr viel durch meine Hingabe für \x0E\x0A\x00\x10\x06den\x06die\n\x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin gelernt.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nIch hörte, Ihr würdet stricken. Wunderbar! Ich\nliebe es, zu sticken – allerdings bin ich dabei nur\neine Dilettantin.\x0E\x04\x00\x00
