MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nYou seem tired, Lady Nel. Maybe it's time for\na meal break.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x06\x04エル\nThank you for your concern. Perhaps I will\nfind some fruit that suits my palate.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x06\x04エル\nI feel quite safe in your presence, Hector.\nIt seems I rely on you instinctively.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x0A\x08ヘクトル\nI'm glad to hear that, Lady Nel. Whenever you\nneed me, I'll be here.\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x06\x04エル\nI can be somewhat...overprotective of those I\nsee as family. I wonder if you can relate.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x0A\x08ヘクトル\nSort of. I was the younger kid, so it was always\nmy older brother taking care of me.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x0A\x08ヘクトル\nDon't be too hard on yourself though, Lady Nel.\nI'll bet they appreciate you looking out for them.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x06\x04エル\nThank you for saying so. It would seem my kind\nand yours have similar thoughts on the subject.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0C\nラファール\nI hear that you were the youngest sibling in your\nfamily. Did you have any sisters?\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x0A\x08ヘクトル\nNo, just one older brother. But he was a great\nman, and I loved him dearly.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0C\nラファール\nYou have much experience in the arena. I would\nlike to see more of your skill up close.\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x0A\x08ヘクトル\nI'm never one to turn down a challenge. You'd\nbetter come at me with everything you have!\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0C\nラファール\nThough I continue to pursue power, my reasons\nhave changed. I now seek to protect others.\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x0A\x08ヘクトル\nThat's good. You need to know when to rely\non others too, though.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x0A\x08ヘクトル\nI used to think, if I got strong enough, I could\nprotect everyone all the time. I was wrong.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0C\nラファール\nRelying upon others does not come naturally to\nme. But perhaps I can begin with you.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nI haven't seen you sitting down for meals much.\nIf you don't eat well, you'll run out of strength.\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nDon't worry. I just had a good meal... Well, it\nwas...a few days ago! I'll go do that right now.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nI'm impressed by all the people you try to take\ncare of. That's the sign of a kind heart.\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nI could say the same about you. You also step in\nto help me and our allies when we're in need.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nEveryone starts smiling when you're around.\nThat's an amazing thing.\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nHaha, I appreciate you saying so. But what\ninspired you to praise me so suddenly?\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x0A\x08ヘクトル\nI think you might be prioritizing others a bit\ntoo much. Give me a shout if I can help, OK?\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nThank you for your concern, but I'm fine. I've\ngot people like you watching out for me!\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nY'know, Gregory, I've been admiring your\nclothes for a while now. They're pretty snazzy!\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x0C\nグレゴリー\nOh, you like them? Oddly enough, I think they'd\nsuit you. Might make you look even stronger.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0C\nグレゴリー\nYour presence makes me feel confident. But I\ndon't want to become too complacent.\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x0A\x08ヘクトル\nWell, I've been through my fair share of battles.\nAlways better to fight with an ally than alone.\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0C\nグレゴリー\nIf I was as strong and courageous as you are,\nI wouldn't always be wanting to run away.\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x0A\x08ヘクトル\nNo point wishing you were someone else. I have\nmy armor and might─you have your strategy.\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x0A\x08ヘクトル\nWe need to pool our strengths to overcome our\nweaknesses. It's the only way to fight!\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x0C\nグレゴリー\nPooling our strengths... Yes, that makes sense.\nI'll think of a way we can optimize our efforts!\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nSomething wrong, Madeline? You're staring.\nIs there something on my face?\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x0C\nマデリーン\nNo. I was noticing that despite your heavy\nequipment, you carry yourself very lightly.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nYou're good at finding the best in people. I feel\nlike I could learn something from you.\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x0C\nマデリーン\nLearn from me? You're too kind, Sir Hector.\nIt's me who has plenty to learn from you.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0C\nマデリーン\nSir Hector, I must learn the secret to becoming\na heroic figure like you.\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x0A\x08ヘクトル\nSecret? I don't really have one...\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x0A\x08ヘクトル\nI just fight for those I want to protect, thinking,\n"Like hell I'll let any of them be sacrificed!"\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x0C\nマデリーン\nPeople you want to protect... Could that be it?\nI am still learning, so let us fight together again.\x0E\x04\x00\x00
