MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0A\x08リンデン\nAgh...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nヴァンドレ\n¿Todo bien, Lindon?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リンデン\nMe fastidia admitirlo, pero la lumbalgia\nme está matando últimamente.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08リンデン\nTodo mi entrenamiento como caballero de\nElusia, en balde. La edad nos alcanza a todos...\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nヴァンドレ\nTonterías. Tu talento como mago es inigualable.\nDiría que apenas se te notan los años.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08リンデン\nPuede que mantenga la mente en forma,\npero mi declive físico es preocupante.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リンデン\nTú tampoco es que seas ya un muchachito...\n¿Te sientes tan en forma como en tu juventud?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nヴァンドレ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nヴァンドレ\nEs cierto que he perdido algo de frescura\ny de reflejos, comparado con antaño...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nヴァンドレ\nPero, gracias a la experiencia que he adquirido,\nlo compenso con creces.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nヴァンドレ\nQuejarse es inútil. La idea es aprovechar\nal máximo lo que el cuerpo te permita hacer.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リンデン\n¡Me gusta tu forma de pensar!\nCreo que podría aprender mucho de ti.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リンデン\nAunque me pesen los años, ¡no toleraré\nque los jóvenes me pasen por encima!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nヴァンドレ\nBien dicho, Lindon. Así se habla.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08リンデン\nUna parte de mí solo desea relajarse\ny ver pasar mis años dorados...\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リンデン\nPero me has convencido: mientras aguante\nel cuerpo, voy a seguir exprimiéndome.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0A\x08リンデン\nMmm...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nヴァンドレ\n¿Algún problema, Lindon?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リンデン\nHe encontrado un grimorio muy peculiar...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リンデン\nCreo que lo que estoy leyendo me permitiría\ndesarrollar un nuevo tipo de magia.\x0E\x04\x00\x00
