MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x08\x06メリン\nVous êtes un dragon, un DRAGON !\nUn vrai, un véritable et authentique dragon !\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06メリン\nVous vous rendez compte comme c'est classe,\nça ?! Et comme vous êtes classe, vous ?\nAbsolument, extraordinairement classe !\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ヴェイル\nHm...\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ヴェイル\nJe suis un dragon, c'est vrai. Mais un dragon\ndéchu, pas un dragon divin. Cela ne vous fait\npas peur ?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06メリン\nPas du tout ! Très franchement, je suis\ntout à l'exaltation de pouvoir vous parler,\nDame Veyle.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ヴェイル\nOh... Je vois.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08ヴェイル\nCela m'étonne. La plupart des gens ont peur\nde moi, ou ne m'aiment pas, tout simplement.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06メリン\nC'est que je viens d'un petit village, vous savez,\nalors quand je vois quelqu'un d'exceptionnel ou\nd'original, je suis forcée de l'admirer !\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06メリン\nEt je ne pourrais jamais ressentir la moindre\naversion pour un être que j'admire autant que\nvous.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ヴェイル\nJ'imagine qu'en effet, je suis un être original\net exceptionnel.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06メリン\nJ'espère que cela ne vous ennuie pas que\nje sois venue vous parler de cette façon ?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ヴェイル\nNon, ça ne m'ennuie pas. Peut-être que vous\naussi, vous êtes un peu originale à votre\nmanière...\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06メリン\nMoi ? Originale ? Après tout, oui, peut-être bien.\nAlors nous sommes pareilles, toutes les deux !\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ヴェイル\nOh !\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06メリン\nPardonnez-moi, Dame Veyle. C'était bien\nprésomptueux de ma part ! Je n'aurais pas\ndû dire ça.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ヴェイル\nNon, ne vous excusez pas. Cela m'a surprise,\nc'est tout.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08ヴェイル\nEn vérité, je suis heureuse que vous me\ntrouviez des points communs avec une\npersonne humaine.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08ヴェイル\nSoyons amies, Merrin. Comme deux originales\nqui se sont trouvées.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x08\x06メリン\nVous êtes incroyable, Dame Veyle.\nChaque fois que je vous regarde,\nje suis pleine d'admiration.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06メリン\nQue ce soit votre peau, votre chevelure, votre\nmaintien... Tout est parfait, chez vous ! Ça n'a\nrien d'étonnant, bien sûr, pour un dragon.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ヴェイル\nJ'imagine.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06メリン\nJe fais beaucoup d'efforts pour soigner mon\napparence, mais question classe, je ne vous\narriverai jamais qu'à la cheville.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06メリン\nLes dragons passent-ils beaucoup de temps à\nsoigner leur apparence ? Ou bien c'est naturel,\nchez eux ?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ヴェイル\nJe n'ai pas l'impression de faire quoi que\nce soit de particulier. En fait, je ne sais pas\ngrand-chose sur la question.\x0E\x04\x00\x00
