MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x12\x0Cオルテンシア\x022\n\x0E\x03\x02\x0A\x08アイビー\nHortensia.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cオルテンシア\nHast du etwas auf dem Herzen, Ivy? Oder kannst\ndu dich nicht von meinem niedlichen Gesicht\ntrennen?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08アイビー\nHah. Ich bin einfach nur glücklich.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08アイビー\nWir haben viel durchgemacht, doch wir sind\nendlich wieder zusammen.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08アイビー\nDu bist nun meine einzige Familie. Ich möchte,\ndass du weißt, dass du wichtig für mich bist.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\nEs ist wohl eine Erleichterung zu hören, dass\neine Halbschwester als „Familie“ angesehen\nwird.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08アイビー\nDas hat für mich nie eine Rolle gespielt. Du\nwarst für mich schon immer meine Schwester.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08アイビー\nDu bist die einzige Familie, die ich brauche.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cオルテンシア\nJa, nun... Das muss jetzt bitte nicht peinlich\nwerden.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cオルテンシア\nDoch ich empfinde dasselbe, also... Danke.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08アイビー\nHm. Du besitzt das Lächeln deiner Mutter.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08アイビー\nDu siehst ihr tatsächlich von Tag zu Tag\nähnlicher.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cオルテンシア\nWirklich?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cオルテンシア\nIch... Ich fühle mich geschmeichelt. Ich bin\nwirklich glücklich.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cオルテンシア\nDenn es ist allein ihr zu verdanken, dass ich\ndich überhaupt Schwester nennen kann.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08アイビー\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cオルテンシア\nAh, ich wollte das alles nicht wieder ausgraben.\nIch hege dir gegenüber keinen Groll oder so.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08アイビー\nIch weiß.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08アイビー\nDennoch, meine Mutter war der Grund,\ndass du und--\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0E\x0Cオルテンシア\nOh, weißt du, was? Mir fällt gerade ein, dass ich\nnoch etwas erledigen muss. Tut mir leid, Ivy!\nWir reden später!\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x01\x0E\x0Cオルテンシア\n\x0E\x03\x02\x0A\x08アイビー\nEs tut mir leid, Hortensia...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x12\x0Cオルテンシア\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nIvy... Erinnerst du dich gut an meine Mama?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08アイビー\nAber natürlich. Sie war wirklich unvergesslich.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nVielleicht könntest du mir etwas über sie\nerzählen?\x0E\x04\x00\x00
