MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08パンドロ\nMilady Veyle, einen Moment Eurer Zeit?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ヴェイル\nJa, sicher.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08パンドロ\nAls Mann der Kirche verehre ich ja\n\x0E\x0A\x008\x18den Wyrmgott\x1Cdie Wyrmgöttin.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08パンドロ\nAlso habe ich mich gefragt... Kann ich auch zu\nEuch beten?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08ヴェイル\nOh, ähm...\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ヴェイル\nIch denke nicht, dass das eine gute Idee wäre.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08パンドロ\nWarum nicht? Ihr seid doch ein Drache, oder?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08パンドロ\nDrachen sind heilige Kreaturen. Es ist ganz\nnatürlich, dass sie verehrt werden.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08ヴェイル\nJa, das verstehe ich. Aber ich bin keine\nWyrmgöttin. Ich bin ein Dämonendrache.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ヴェイル\nAls ein Kleriker, der \x0E\x0A\x008\x18den Wyrmgott\x1Cdie Wyrmgöttin verehrt,\nwäre es da nicht... falsch von dir, mich\nanzubeten?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08パンドロ\n\x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin, Dämonendrache...\nDie Unterscheidung hat doch keine Substanz.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ヴェイル\nDir muss doch klar sein, was ich getan habe.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08ヴェイル\nWenn du jemanden wie mich anbeten würdest,\nwürden sich deine Glaubensgenossen gegen\ndich wenden.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08パンドロ\nNein. Solm ist ein freigeistiges Königinreich.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08パンドロ\nWenn man sieht, wie ich Euch anbete, werden\nandere nachziehen. Ihr werdet schon sehen.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ヴェイル\nOh. Ich... denke nicht, dass das eine gute Idee\nwäre.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08パンドロ\nIhr macht Euch zu viele Gedanken. Vertraut mir\neinfach.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08ヴェイル\nAber... Was, wenn du dich irrst?\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nÄhm, Pandreo...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08パンドロ\nJa. Liegt etwas an?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ヴェイル\nIch verstehe das nicht. Wie komme ich denn zu\ndiesem ganzen Essen?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08パンドロ\nSchauen wir mal... Gemüse, Weizen, Fleisch,\nFisch. Das ist ja ein ganz ansehnlicher Vorrat\nhier.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ヴェイル\nIch weiß gar nicht, was ich damit alles anfangen\nsoll, so viel ist es.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ヴェイル\nWarum bekomme ich von allen diese\nGeschenke?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08パンドロ\nDas sind keine Geschenke, das sind Opfergaben.\nDamit drücken die Leute ihren Glauben an Euch\naus.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ヴェイル\nNun, mir ist klar, dass das Volk im Königinreich\nvon Solm sehr freigeistig unterwegs ist.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ヴェイル\nAber dennoch. Warum bist du... ist jeder...\nso freundlich zu mir?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ヴェイル\nEs... Es ergibt einfach keinen Sinn.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08パンドロ\nNun, so zornig und rachsüchtig die Menschen\nsein mögen, so mitfühlend können sie auch sein.\nUnd voller Vergebung.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08パンドロ\nViele Leute, in Solm und darüber hinaus, haben\nerkannt, dass Ihr Euch zum Besseren gewandelt\nhabt.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08パンドロ\nIch bin sicher: Träfen Sie Euch persönlich an,\nwürden sie Euch nichts als Güte\nentgegenbringen.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ヴェイル\nDas würden sie? Wirklich?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ヴェイル\nWenn es denn so ist, dann würde ich ihnen allen\ngerne etwas zurückgeben.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ヴェイル\nSie haben mir das Geschenk der Fröhlichkeit\ngemacht. Nun ist es an der Zeit, es ihnen zu\nvergelten.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08パンドロ\nDas gefällt mir. Was schwebt Euch denn da vor?\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08パンドロ\nARUUU. Wer ist bereit für eine wilde\nHeulrunde?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08ヴェイル\nAwuuu...\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08パンドロ\nLauter, Milady Veyle!\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08ヴェイル\nD-das ist mir ein bisschen peinlich.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08パンドロ\nDiese Party war Eure Idee. Ihr wolltet\nschließlich etwas zurückgeben, wisst Ihr noch?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08パンドロ\nUnd wenn das Volk sich amüsieren soll, müsst\nIhr mit gutem Beispiel vorangehen.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ヴェイル\nJa, du hast recht.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ヴェイル\nIch wollte allen zeigen, wie dankbar ich bin, und\ndu hast diese Party dafür ausgerichtet.\nDann lege ich mal los...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ヴェイル\nARUUU! Vielen Dank, dass ihr alle\ngekommen seid!\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ヴェイル\nIhr gabt mir Geschenke – und das Geschenk\nder Fröhlichkeit! Und im Gegenzug hoffe ich,\ndass ihr alle diese Festivität genießen möget!\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x04\x03\x04
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ヴェイル\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08パンドロ\nAllmählich verteilt sich die Menge. Zeit, dass wir\naufräumen.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ヴェイル\nIch hatte so... viel... Spaß!\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08パンドロ\nHm?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ヴェイル\nDiese Party... Sie war so großartig.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08ヴェイル\nAlle waren so freundlich zu mir. Und du glaubst\ngar nicht, was ich für schöne Gespräche hatte.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ヴェイル\nEs fühlte sich an wie ein Traum.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08パンドロ\nIch habe es Euch doch gesagt, oder? Sie wissen,\ndass Ihr Euch geändert habt.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ヴェイル\nIch frage mich, ob es welche gibt, die mir noch\nmisstrauen. Du weißt schon, tief im Inneren.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08ヴェイル\nAber zumindest haben sie mein neues Ich ein\nwenig kennengelernt. Das echte Ich.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08ヴェイル\nPandreo, ich wünschte, dieser Tag würde nie\nenden.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08パンドロ\nKeine Sorge. Wir können jederzeit weiterfeiern.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08ヴェイル\nOh, gut.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08パンドロ\nNatürlich wollen wir nicht, dass die Leute\ndenken, Ihr würdet den Krieg nicht ernst genug\nnehmen.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08パンドロ\nDaher sollten wir weitere Partys lieber\nverschieben, bis die Welt wieder Frieden\ngefunden hat.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08ヴェイル\nNatürlich. Du hast recht.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08パンドロ\nBis dahin könnt Ihr Euch vollkommen auf mich\nverlassen. Schließlich seid Ihr einer meiner\nLieblingsdrachen.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0A\x08ヴェイル\nVielen Dank, Pandreo. Für alles, was du getan\nhast.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0A\x08ヴェイル\nIch werde mein Bestes geben, um der Welt\nFrieden zu bringen. Das wäre wahrlich ein\nGrund zum Feiern!\x0E\x04\x00\x00
