MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nエーティエ\x022\n\x0E\x03\x02\x0A\x08リュール\nHahaha.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nエーティエ\nHm?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nエーティエ\nWas ist los? Ihr seht mich so seltsam an.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08リュール\nEntschuldige bitte, war nicht böse gemeint.\nIch konnte es mir einfach nur nicht verkneifen.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nエーティエ\nStimmt etwas nicht mit meinem Aussehen?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08リュール\nOh, nein! Nichts dergleichen!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nエーティエ\nDann sagt mir endlich, wieso Ihr lacht!\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リュール\nHahaha.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リュール\nNa ja, du wirkst immer so zuversichtlich,\nweißt du?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nエーティエ\nHm?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リュール\nMir wurde nur gerade bewusst, wie sehr sich\ndas in deinem Gesicht widerspiegelt.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リュール\nDu sprühst förmlich vor Zuversicht. Und das\ninspiriert mich irgendwie...\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nエーティエ\nUnd deshalb müsst Ihr mich unbedingt\nanstarren.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リュール\nVergib mir, Etie. Wenn es dich stört, höre ich\nauf damit.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nエーティエ\nAch was, schon gut. \x0E\x0A\x00\x10\x06Dem\x06Der Göttlichen nützlich zu\nsein, ist ja eigentlich eine Ehre.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nエーティエ\nWenn es Euch erheitert, mich anzustarren,\ndann starrt ruhig, so viel Ihr wollt.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08リュール\nIch danke dir!\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nエーティエ\nEin bisschen peinlich ist mir das ja schon,\naber eine Runde laufen wird sicher für etwas\nAblenkung sorgen.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0C\nエーティエ\nAuf bald, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nエーティエ\x022\n\x0E\x03\x02\x0C\nエーティエ\nWie ich sehe, starrt Ihr mich schon wieder an,\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nDas stimmt. Schon wieder. Entschuldige,\nich kann einfach nichts dagegen tun.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nエーティエ\nIhr wisst doch, dass mir das nichts ausmacht.\nIrgendwie finde ich sogar Gefallen daran!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nエーティエ\nDoch mir fallen bessere Wege ein als meine\nZuversicht zu bewundern, damit sich Eure\nStimmung erhellt.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リュール\nWie zum Beispiel?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nエーティエ\nEinhundert Runden um das Somniel!\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リュール\nDu meinst... Laufen?!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nエーティエ\nSelbst ich bin manchmal etwas gestresst.\nUnd gegen den Stress hilft mir immer ein\nausgedehnter Lauf.\x0E\x04\x00\x00
