MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06メリン\nYunaka, vous auriez une seconde ?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06ユナカ\nBien sûr !\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06メリン\nC'est au sujet de notre duel d'entraînement.\nIl y aurait peut-être quelque chose à revoir\ndans votre attitude...\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06ユナカ\nComment ça ?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06メリン\nC'était un duel d'entraînement, pas un combat\nà mort, nous sommes d'accord ? Pourtant, vous\nm'avez sauté à la gorge...\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06メリン\nVous voulez bien y aller un peu plus doucement,\nla prochaine fois ? Et vous montrer un peu\nmoins... individualiste dans votre approche ?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06ユナカ\nQuoi ? Alors là, c'est ridicule au possible !\nDésolée, mais c'est hors de question.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06メリン\nPardon ?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06ユナカ\nMerrin, je sais que vous croyez avoir la grande\nclasse quand vous déclamez vos monologues en\nplein milieu d'un combat.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06ユナカ\nMais si vous vous comportez ainsi, faut pas\nvous étonner si l'adversaire vous embroche\navant la fin de votre tirade.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06ユナカ\nFace à moi, vous vous en tirez avec une\nbosse sur le crâne. Contre un véritable ennemi,\nvous auriez les tripes à l'air.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06メリン\nJe le sais bien ! Je voulais travailler un peu\nmes réparties, voilà tout.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06ユナカ\nÀ quoi bon si vous ne pouvez pas vous en\nservir sur le champ de bataille ?\x0E\x04\x00\x00
